Date;Produit;Region;Ventes;Prix Unitaire;Cost Unit;Promo;Stock;Marketing Budget;Customer Satisfaction;Weather;Holiday;Revenue
2021-01-01;Produit_A;Rabat;77;79.0;49.0;1;272;3638;3.1;Sunny;No;6083.0
2021-01-04;Produit_D;Tanger;175;19.0;14.0;1;168;6179;2.8;Sunny;No;3325.0
2021-01-07;Produit_D;Rabat;159;54.0;17.0;1;879;8033;4.9;Cloudy;Yes;8586.0
2021-01-10;Produit_A;Casablanca;102;19.0;13.0;1;986;3365;3.7;Sunny;No;1938.0
2021-01-13;Produit_E;Casablanca;153;57.0;10.0;0;959;2120;3.2;Rainy;Yes;8721.0
2021-02-01;Produit_B;Tanger;103;56.02;13.6;0;221;4034;4.7;Cloudy;No;5769.72
2021-02-02;Produit_C;Rabat;103;63.5;41.08;1;753;4872;2.2;Sunny;No;6540.64
2021-02-03;Produit_D;Tanger;234;79.79;36.67;0;745;3411;2.3;Cloudy;No;18670.86
2021-02-04;Produit_E;Rabat;55;80.65;29.65;0;617;1542;3.1;Sunny;No;4435.89
2021-02-05;Produit_A;Tanger;234;78.93;16.64;1;202;2969;3.9;Cloudy;Yes;18469.65
2021-02-06;Produit_B;Rabat;215;25.1;6.68;0;965;3207;3.8;Sunny;No;5395.59
2021-02-07;Produit_C;Tanger;220;42.68;26.73;1;464;2034;1.7;Cloudy;No;9389.2
2021-02-08;Produit_D;Rabat;57;70.4;19.31;1;958;4507;4.0;Sunny;No;4012.78
2021-02-09;Produit_E;Tanger;112;49.27;6.68;0;533;2200;3.8;Cloudy;No;5518.3
2021-02-10;Produit_A;Rabat;245;71.2;29.7;0;361;1943;2.2;Sunny;Yes;17444.67
2021-02-11;Produit_B;Tanger;198;50.04;49.26;0;416;3596;4.3;Cloudy;No;9908.1
2021-02-12;Produit_C;Rabat;175;21.29;9.12;1;702;3735;1.3;Sunny;No;3726.21
2021-02-13;Produit_D;Tanger;166;58.85;33.87;1;344;3221;3.5;Cloudy;No;9769.47
2021-02-14;Produit_E;Rabat;249;12.98;12.15;1;169;1580;5.0;Sunny;No;3231.49
2021-02-15;Produit_A;Tanger;223;11.36;41.04;0;564;2435;3.5;Cloudy;Yes;2534.33
2021-02-16;Produit_B;Rabat;117;47.26;18.34;1;817;1313;2.9;Sunny;No;5529.13
2021-02-17;Produit_C;Tanger;136;30.55;17.9;1;416;2847;1.9;Cloudy;No;4155.3
2021-02-18;Produit_D;Rabat;124;84.4;10.26;0;765;1102;3.3;Sunny;No;10465.96
2021-02-19;Produit_E;Tanger;263;83.32;19.53;1;895;1347;3.1;Cloudy;No;21912.12
2021-02-20;Produit_A;Rabat;59;30.33;36.0;0;337;2536;2.0;Sunny;Yes;1789.43
2021-02-21;Produit_B;Tanger;126;22.96;17.41;0;147;1655;1.3;Cloudy;No;2892.84
2021-02-22;Produit_C;Rabat;170;39.63;6.23;1;365;1585;3.1;Sunny;No;6737.93
2021-02-23;Produit_D;Tanger;122;83.08;25.29;0;987;1996;1.9;Cloudy;No;10135.3
2021-02-24;Produit_E;Rabat;67;44.05;15.99;0;111;3930;3.1;Sunny;No;2951.13
2021-02-25;Produit_A;Tanger;291;17.4;17.67;0;939;1624;1.2;Cloudy;Yes;5062.19
2021-02-26;Produit_B;Rabat;71;45.48;11.95;0;840;4727;4.9;Sunny;No;3228.79
2021-02-27;Produit_C;Tanger;64;91.47;5.11;0;252;2904;1.6;Cloudy;No;5854.18
2021-02-28;Produit_D;Rabat;204;30.4;21.58;1;124;3291;3.3;Sunny;No;6202.42
2021-03-01;Produit_B;Tanger;255;66.44;19.09;1;770;1146;3.9;Cloudy;No;16942.66
2021-03-02;Produit_C;Rabat;81;47.58;34.87;1;925;4722;2.5;Sunny;No;3853.59
2021-03-03;Produit_D;Tanger;140;63.92;22.85;1;231;1002;1.7;Cloudy;No;8948.8
2021-03-04;Produit_E;Rabat;205;76.8;8.44;0;245;2978;4.4;Sunny;No;15744.1
2021-03-05;Produit_A;Tanger;135;15.47;42.25;1;606;3427;2.6;Cloudy;Yes;2087.99
2021-03-06;Produit_B;Rabat;188;27.91;29.07;0;620;3146;3.3;Sunny;No;5247.73
2021-03-07;Produit_C;Tanger;82;77.62;37.33;1;117;1362;4.5;Cloudy;No;6364.93
2021-03-08;Produit_D;Rabat;144;52.67;13.3;1;346;1058;2.7;Sunny;No;7584.47
2021-03-09;Produit_E;Tanger;226;38.28;29.08;1;777;4992;2.4;Cloudy;No;8651.52
2021-03-10;Produit_A;Rabat;75;63.19;32.47;0;610;3408;4.7;Sunny;Yes;4739.62
2021-03-11;Produit_B;Tanger;56;94.43;21.08;1;580;4205;1.5;Cloudy;No;5287.93
2021-03-12;Produit_C;Rabat;62;30.33;33.6;1;416;1930;1.2;Sunny;No;1880.33
2021-03-13;Produit_D;Tanger;89;38.74;35.44;0;368;4354;3.4;Cloudy;No;3447.77
2021-03-14;Produit_E;Rabat;55;73.75;39.66;1;778;1197;3.3;Sunny;No;4056.02
2021-03-15;Produit_A;Tanger;194;93.52;30.03;0;623;2233;4.7;Cloudy;Yes;18143.02
2021-03-16;Produit_B;Rabat;190;13.9;45.2;0;905;2961;2.4;Sunny;No;2641.66
2021-03-17;Produit_C;Tanger;99;86.19;5.86;1;146;2634;3.4;Cloudy;No;8532.45
2021-03-18;Produit_D;Rabat;167;48.28;7.04;0;246;1008;2.1;Sunny;No;8062.14
2021-03-19;Produit_E;Tanger;177;48.22;28.82;1;573;3181;3.3;Cloudy;No;8534.33
2021-03-20;Produit_A;Rabat;119;39.04;15.14;1;306;3063;2.5;Sunny;Yes;4645.58
2021-03-21;Produit_B;Tanger;75;19.2;32.15;0;564;4183;2.5;Cloudy;No;1439.85
2021-03-22;Produit_C;Rabat;185;26.61;48.11;1;490;1738;4.9;Sunny;No;4923.27
2021-03-23;Produit_D;Tanger;288;84.71;24.08;0;255;2198;1.4;Cloudy;No;24396.52
2021-03-24;Produit_E;Rabat;224;95.57;18.37;1;535;2305;1.7;Sunny;No;21408.69
2021-03-25;Produit_A;Tanger;101;50.79;25.5;0;191;4141;4.4;Cloudy;Yes;5129.56
2021-03-26;Produit_B;Rabat;140;47.28;33.8;0;590;4654;3.1;Sunny;No;6618.97
2021-03-27;Produit_C;Tanger;144;20.65;49.38;0;970;1166;2.8;Cloudy;No;2973.65
2021-03-28;Produit_D;Rabat;259;10.71;31.43;1;915;4805;4.7;Sunny;No;2773.08
2021-03-29;Produit_E;Tanger;297;92.96;24.21;0;519;1418;1.9;Cloudy;No;27608.04
2021-03-30;Produit_A;Rabat;161;36.88;36.44;1;720;1989;1.9;Sunny;Yes;5937.49
2021-03-31;Produit_B;Tanger;254;72.93;41.68;1;785;1554;4.3;Cloudy;No;18524.11
2021-04-01;Produit_B;Tanger;226;61.43;18.15;0;373;3775;4.3;Cloudy;No;13883.88
2021-04-02;Produit_C;Rabat;219;77.42;24.54;1;278;3172;2.5;Sunny;No;16954.34
2021-04-03;Produit_D;Tanger;154;19.81;28.71;0;259;3368;2.0;Cloudy;No;3050.09
2021-04-04;Produit_E;Rabat;218;55.28;32.77;1;684;4980;2.3;Sunny;No;12051.61
2021-04-05;Produit_A;Tanger;294;16.33;16.97;0;897;3571;3.0;Cloudy;Yes;4801.48
2021-04-06;Produit_B;Rabat;277;51.28;7.14;0;569;2261;2.9;Sunny;No;14204.83
2021-04-07;Produit_C;Tanger;237;44.22;46.28;0;454;2240;4.5;Cloudy;No;10480.31
2021-04-08;Produit_D;Rabat;235;98.85;15.92;1;949;3710;1.3;Sunny;No;23230.41
2021-04-09;Produit_E;Tanger;257;85.64;35.31;1;217;4225;1.9;Cloudy;No;22009.66
2021-04-10;Produit_A;Rabat;159;35.97;35.91;0;758;4986;3.1;Sunny;Yes;5719.08
2021-04-11;Produit_B;Tanger;237;80.37;35.33;1;386;3576;3.6;Cloudy;No;19047.76
2021-04-12;Produit_C;Rabat;133;32.44;47.99;0;777;1771;3.8;Sunny;No;4314.69
2021-04-13;Produit_D;Tanger;228;19.41;45.8;1;808;3146;2.8;Cloudy;No;4424.44
2021-04-14;Produit_E;Rabat;233;95.16;25.3;1;262;4751;1.3;Sunny;No;22172.55
2021-04-15;Produit_A;Tanger;118;18.36;15.89;0;183;2680;2.6;Cloudy;Yes;2166.33
2021-04-16;Produit_B;Rabat;75;96.94;24.47;1;200;1991;3.0;Sunny;No;7270.18
2021-04-17;Produit_C;Tanger;170;70.26;26.64;0;378;3367;2.8;Cloudy;No;11944.8
2021-04-18;Produit_D;Rabat;163;66.72;20.63;0;280;4049;4.9;Sunny;No;10875.39
2021-04-19;Produit_E;Tanger;81;34.39;35.96;1;868;3304;1.7;Cloudy;No;2785.21
2021-04-20;Produit_A;Rabat;299;10.33;31.64;0;746;3722;4.7;Sunny;Yes;3088.04
2021-04-21;Produit_B;Tanger;130;58.53;16.73;0;415;1718;1.2;Cloudy;No;7608.78
2021-04-22;Produit_C;Rabat;191;33.75;45.05;0;375;2301;3.5;Sunny;No;6446.03
2021-04-23;Produit_D;Tanger;295;25.72;46.8;0;236;3072;3.9;Cloudy;No;7588.3
2021-04-24;Produit_E;Rabat;221;42.83;47.99;1;482;2498;3.1;Sunny;No;9465.07
2021-04-25;Produit_A;Tanger;53;26.57;14.59;0;256;3189;1.1;Cloudy;Yes;1408.15
2021-04-26;Produit_B;Rabat;120;69.12;42.07;0;336;2625;4.8;Sunny;No;8294.71
2021-04-27;Produit_C;Tanger;124;46.78;41.07;1;432;3002;1.6;Cloudy;No;5801.05
2021-04-28;Produit_D;Rabat;282;26.29;23.75;0;746;4597;4.4;Sunny;No;7412.51
2021-04-29;Produit_E;Tanger;141;66.54;38.26;0;870;4980;2.2;Cloudy;No;9382.59
2021-04-30;Produit_A;Rabat;109;63.9;41.93;0;483;2188;5.0;Sunny;Yes;6965.54
2021-05-01;Produit_B;Tanger;155;95.85;29.82;0;769;3061;2.4;Cloudy;No;14856.94
2021-05-02;Produit_C;Rabat;229;79.97;25.44;0;589;2324;4.5;Sunny;No;18314.14
2021-05-03;Produit_D;Tanger;69;43.44;29.46;0;710;4560;2.5;Cloudy;No;2997.3
2021-05-04;Produit_E;Rabat;86;61.68;14.62;0;604;1765;3.5;Sunny;No;5304.25
2021-05-05;Produit_A;Tanger;261;58.08;40.85;1;454;4240;1.9;Cloudy;Yes;15159.06
2021-05-06;Produit_B;Rabat;100;75.92;19.97;0;446;4219;2.8;Sunny;No;7592.28
2021-05-07;Produit_C;Tanger;209;23.12;32.18;1;150;4101;2.0;Cloudy;No;4831.88
2021-05-08;Produit_D;Rabat;146;83.96;6.6;0;587;2180;2.3;Sunny;No;12258.54
2021-05-09;Produit_E;Tanger;80;97.53;23.33;0;927;1642;2.5;Cloudy;No;7802.29
2021-05-10;Produit_A;Rabat;212;28.12;32.57;0;873;2438;3.3;Sunny;Yes;5961.18
2021-05-11;Produit_B;Tanger;289;19.55;43.0;0;724;4252;3.1;Cloudy;No;5649.23
2021-05-12;Produit_C;Rabat;160;80.51;5.18;0;591;3579;3.5;Sunny;No;12881.35
2021-05-13;Produit_D;Tanger;252;62.3;6.36;1;512;2587;3.1;Cloudy;No;15699.82
2021-05-14;Produit_E;Rabat;134;94.59;41.97;1;388;2760;1.0;Sunny;No;12674.68
2021-05-15;Produit_A;Tanger;58;58.99;41.12;1;576;2049;1.1;Cloudy;Yes;3421.52
2021-05-16;Produit_B;Rabat;231;26.24;47.41;0;301;2258;1.5;Sunny;No;6061.86
2021-05-17;Produit_C;Tanger;183;37.75;45.51;1;925;4700;4.8;Cloudy;No;6908.94
2021-05-18;Produit_D;Rabat;223;85.31;21.93;0;405;2599;4.6;Sunny;No;19024.67
2021-05-19;Produit_E;Tanger;185;78.71;43.61;0;140;1279;2.0;Cloudy;No;14562.03
2021-05-20;Produit_A;Rabat;58;12.7;47.8;1;919;1729;3.2;Sunny;Yes;736.42
2021-05-21;Produit_B;Tanger;115;81.29;16.7;1;550;4930;1.9;Cloudy;No;9348.32
2021-05-22;Produit_C;Rabat;70;50.27;25.04;0;338;3650;3.3;Sunny;No;3518.94
2021-05-23;Produit_D;Tanger;210;32.02;7.16;1;114;2927;4.6;Cloudy;No;6724.85
2021-05-24;Produit_E;Rabat;59;94.68;7.53;0;475;3750;2.2;Sunny;No;5586.36
2021-05-25;Produit_A;Tanger;245;84.51;30.45;0;629;2320;3.5;Cloudy;Yes;20704.57
2021-05-26;Produit_B;Rabat;258;53.09;19.01;0;888;2748;2.7;Sunny;No;13697.95
2021-05-27;Produit_C;Tanger;71;28.29;37.97;1;329;3093;3.2;Cloudy;No;2008.94
2021-05-28;Produit_D;Rabat;87;14.73;40.34;1;609;4669;1.1;Sunny;No;1281.32
2021-05-29;Produit_E;Tanger;177;88.11;29.84;1;904;1387;2.3;Cloudy;No;15595.39
2021-05-30;Produit_A;Rabat;114;84.68;27.32;1;285;1050;2.2;Sunny;Yes;9654.09
2021-05-31;Produit_B;Tanger;262;78.09;38.09;0;154;2277;3.7;Cloudy;No;20458.33
2021-06-01;Produit_B;Tanger;111;65.46;17.33;1;741;3046;4.2;Cloudy;No;7265.62
2021-06-02;Produit_C;Rabat;205;64.71;8.84;0;808;4164;4.8;Sunny;No;13265.4
2021-06-03;Produit_D;Tanger;287;82.32;29.74;1;571;4642;2.3;Cloudy;No;23624.67
2021-06-04;Produit_E;Rabat;52;24.46;46.61;0;359;2329;3.1;Sunny;No;1271.71
2021-06-05;Produit_A;Tanger;290;24.92;29.45;0;438;1046;4.0;Cloudy;Yes;7228.05
